ts_code,trade_date,open,high,low,close,vol,amount
000300.SH,20231211,3378.0517,3426.6106,3346.8902,3419.4548,139626249.0,219761181.4231
000300.SH,20231212,3409.9976,3427.5456,3406.1013,3426.803,105590013.0,166979964.7797
000300.SH,20231213,3418.6413,3418.6413,3369.605,3369.605,95285367.0,165455928.3756
000300.SH,20231214,3387.3847,3399.1394,3350.7648,3351.9639,83655135.0,150245775.7364
000300.SH,20231215,3365.9388,3388.5047,3339.519,3341.5517,97787783.0,164907019.3721
000300.SH,20231218,3329.191,3352.3458,3314.9095,3329.3657,90526826.0,142303319.4189
000300.SH,20231219,3325.6596,3345.7795,3313.1874,3334.0412,83808118.0,135293655.3961
000300.SH,20231220,3334.332,3338.5434,3297.3652,3297.5022,92412868.0,141290542.8023
000300.SH,20231221,3285.6049,3339.3552,3283.9883,3330.8698,102546198.0,171120780.5795
000300.SH,20231222,3329.4668,3359.0601,3315.8976,3337.2281,105220133.0,167336342.3092
000300.SH,20231225,3330.3333,3348.882,3330.3333,3347.4508,74542693.0,121838327.0711
000300.SH,20231226,3345.3952,3345.4171,3315.937,3324.7902,74732935.0,121689997.4346
000300.SH,20231227,3326.9267,3341.2659,3309.6731,3336.3572,94403928.0,140924923.6748
000300.SH,20231228,3335.5572,3423.4018,3331.2082,3414.5403,148064851.0,245855634.4643
000300.SH,20231229,3411.1094,3432.5412,3409.5795,3431.1099,114928932.0,193573180.5151
000300.SH,20240102,3426.2684,3426.2684,3386.3522,3386.3522,116180726.0,184096097.4487
000300.SH,20240103,3379.7501,3392.8504,3362.6617,3378.2971,105613851.0,165099018.6425
000300.SH,20240104,3375.0207,3375.0207,3323.8647,3347.0519,106721013.0,165512262.6986
000300.SH,20240105,3341.3061,3372.5444,3313.5542,3329.1114,126400574.0,182251664.9481
000300.SH,20240108,3322.6051,3333.516,3283.3421,3286.0564,117429485.0,170761644.8734
000300.SH,20240109,3286.7083,3304.6008,3273.8431,3292.4994,109330465.0,172276323.0452
000300.SH,20240110,3281.6692,3312.9161,3268.2471,3277.129,94199366.0,159777649.8381
000300.SH,20240111,3275.3086,3311.1137,3266.7911,3295.6717,108789735.0,180978533.5555
000300.SH,20240112,3284.358,3310.4704,3279.6987,3284.1667,96853555.0,156536022.2919
000300.SH,20240115,3270.1029,3306.9217,3261.2687,3280.9195,88851530.0,144331722.4306
000300.SH,20240116,3272.571,3300.8762,3260.4362,3300.8762,113276665.0,175650587.4889
